QTR,CARRIER,SOURCE_CITY,DEST_CITY,ORDER_COUNT,AVG_TRANSIT_DAYS,ACTUAL_TRANSIT_DAYS,ONTIME_PERFORMANCE
2025 2,HOSD,GRAND RAPIDS,ELWOOD,114,4,2,61
2025 2,ODFL,ELWOOD,OMAHA,8,1,4,86
2025 2,ODFL,ELWOOD,HOPKINS,34,1,2,95
2025 2,ODFL,REDLANDS,MERIDIAN,3,2,4,67
2025 2,ODFL,ELWOOD,MIAMI,9,3,7,23
2025 2,ODFL,ELWOOD,AMSTERDAM,5,2,5,40
2025 2,ODFL,LANCASTER,SEARCY,19,0,2,79
2025 2,ODFL,REDLANDS,PLAINVIEW,44,3,2,100
2024 3,ODFL,ELWOOD,SHAKOPEE,16,1,3,38
2024 2,ODFL,RICHMOND,POTTSVILLE,9,1,5,100
2024 2,ODFL,RICHMOND,BREINIGSVILLE,3,1,3,100
2024 2,ODFL,SUMNER,PUYALLUP,18,1,5,78
2024 2,ODFL,ELWOOD,MIAMI,12,3,6,17
2024 2,ODFL,LANCASTER,PLAINVIEW,4,1,2,100
2024 2,ODFL,SUMNER,TRACY,7,2,8,43
2024 2,RBTW,REDLANDS,DINUBA,9,3,2,38
2024 2,ODFL,LANCASTER,ROANOKE,2,1,3,100
2024 3,ODFL,RICHMOND,OPELOUSAS,6,3,5,17
2024 2,ODFL,ELWOOD,CHEROKEE,10,2,4,20
2024 3,ODFL,SUMNER,RICHMOND,3,5,7,100
2024 2,ODFL,LANCASTER,AMARILLO,4,1,3,25
2024 3,ODFL,RICHMOND,FT PIERCE,8,2,5,38
2024 3,ODFL,LANCASTER,HOPE MILLS,1,2,3,100
2024 3,RBTW,LANCASTER,ARDMORE,8,4,1,58
2024 2,ODFL,ELWOOD,LOXLEY,6,3,4,34
2024 3,RBTW,ELWOOD,WURTSBORO,5,3,2,50
2024 3,RBTW,GRAND RAPIDS,RICHMOND,67,4,3,11
2024 2,ODFL,LANCASTER,SANGER,2,1,3,100
2024 3,ODFL,ELWOOD,HOPKINS,20,1,5,60
2024 3,ODFL,RICHMOND,SUFFOLK,20,1,4,45
2024 2,ODFL,LANCASTER,WOODLAND,2,3,5,100
2024 2,ODFL,ELWOOD,ROME,6,2,4,17
2024 3,ODFL,REDLANDS,COMMERCE,36,1,6,42
2024 3,ODFL,LANCASTER,ALACHUA,3,2,4,34
2024 2,RBTW,GRAND RAPIDS,FENTON,11,1,2,20
2024 2,ODFL,ELWOOD,HATTIESBURG,6,3,4,17
2024 3,ODFL,PHARR,BALTIMORE,8,4,5,25
2024 2,ODFL,LANCASTER,AMSTERDAM,5,3,5,34
2024 2,ODFL,LANCASTER,PHOENIX,2,2,2,100
2024 2,ODFL,RICHMOND,FINDLAY,6,2,5,34
2024 3,ODFL,ELWOOD,MIAMI,26,3,7,9
2024 3,ODFL,ELWOOD,BROWNSTOWN,17,1,4,18
2024 3,ODFL,ELWOOD,LEBANON,30,2,4,20
2024 3,ODFL,RICHMOND,BOYNTON BEACH,13,2,7,100
2024 3,ODFL,RICHMOND,WILLIAMSTON,22,1,4,64
2024 3,RBTW,RICHMOND,ELWOOD,20,2,3,6
2024 3,ODFL,ELWOOD,MT. CRAWFORD,8,2,3,75
2024 3,ODFL,REDLANDS,CHINO,31,1,4,24
2024 3,ODFL,ELWOOD,WINDSOR,20,1,3,10
2024 3,ODFL,LANCASTER,LUGOFF,6,2,6,40
2024 3,RBTW,RICHMOND,NICHOLS,8,5,2,17
2024 3,ODFL,LANCASTER,SANGER,15,1,2,77
2024 3,ODFL,REDLANDS,CHEHALIS,24,2,8,25
2024 3,ODFL,RICHMOND,SMYRNA,4,1,4,100
2024 3,ODFL,RICHMOND,TEWKSBURY,8,2,7,50
2024 3,ODFL,LANCASTER,DAYTON,11,1,3,19
2024 3,ODFL,SUMNER,EUGENE,9,1,3,34
2024 2,ODFL,ELWOOD,ABINGDON,2,1,4,100
2024 2,ODFL,RICHMOND,WACO,2,3,3,50
2024 3,ODFL,LANCASTER,LOVELAND,4,2,3,100
2024 3,ODFL,REDLANDS,STOCKTON,19,1,6,19
2024 3,ODFL,ELWOOD,MAUMELLE,12,2,4,20
2024 3,ODFL,REDLANDS,LOVELAND,14,2,5,58
2024 3,ODFL,RICHMOND,S. PORTLAND,16,2,5,15
2024 4,ODFL,ELWOOD,EDWARDSVILLE,34,1,5,15
2024 4,ODFL,ELWOOD,EAU CLAIRE,34,1,3,67
2024 4,HOSD,GRAND RAPIDS,ELWOOD,234,4,2,65
2024 4,ODFL,RICHMOND,ABINGDON,6,1,4,17
2024 4,AFXN,REDLANDS,RIVERSIDE,99,2,2,6
2024 3,ODFL,RICHMOND,DENVER,6,1,8,34
2024 3,ODFL,REDLANDS,TOPEKA,8,3,7,50
2024 3,ODFL,ELWOOD,MIDWAY,24,2,5,43
2024 2,ODFL,ELWOOD,URBANA,2,1,2,100
2024 2,ODFL,RICHMOND,MIDLOTHIAN,3,2,7,100
2024 2,ODFL,ELWOOD,BOYNTON BEACH,2,3,6,100
2024 3,ODFL,RICHMOND,TOPEKA,12,3,8,34
2024 3,ODFL,RICHMOND,LOVELAND,2,3,3,100
2024 3,ODFL,ELWOOD,MIDLAND,6,2,4,34
2024 3,ODFL,LANCASTER,MENOMONIE,1,3,3,100
2024 3,ODFL,REDLANDS,MIDWAY,14,4,7,63
2024 4,ODFL,LANCASTER,AMARILLO,46,1,6,24
2024 4,RBTW,ELWOOD,RICHMOND,54,2,2,8
2024 3,ODFL,ELWOOD,VILLA RICA,8,2,5,50
2024 3,ODFL,REDLANDS,ONTARIO,6,1,3,67
2024 4,ODFL,RICHMOND,DUBLIN,8,2,7,75
2024 4,RBTW,LANCASTER,ARDMORE,5,3,1,60
2024 4,ODFL,ELWOOD,TIFTON,19,2,6,22
2024 4,ODFL,PHARR,MOUNT PLEASANT,71,3,6,4
2024 4,ODFL,ELWOOD,LA CROSSE,29,1,3,28
2024 3,ODFL,LANCASTER,BROOKHAVEN,1,1,2,100
2024 2,ODFL,ELWOOD,PUEBLO,2,3,6,50
2024 4,ODFL,REDLANDS,GRANTSVILLE,4,2,4,50
2024 4,ODFL,LANCASTER,SANGER,10,1,3,60
2024 4,ODFL,ELWOOD,TOBYHANNA,6,2,5,34
2024 4,ODFL,ELWOOD,WINDSOR,26,2,3,31
2024 4,ODFL,ELWOOD,OSWEGO,10,1,2,20
2024 3,ODFL,RICHMOND,WEST JORDAN,3,4,13,100
2024 4,RBTW,RICHMOND,STAUNTON,5,2,1,60
2025 1,ODFL,ELWOOD,NEWTON,4,2,4,50
2025 1,ODFL,LANCASTER,BESSEMER,14,2,4,58
